[ActivityLogger] Success! Method=POST, URL=/api/admin/auth/login, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/users?page=1&limit=10&search=&role=&verified=&blocked=&sort=newest, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/users/stats, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/users?page=1&limit=10&search=&role=&verified=&blocked=&sort=newest, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/users/stats, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/resumes/analysis/6a7439bca184eb1d15b78ec5, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/resumes/analysis/6a7439bca184eb1d15b78ec5, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/dashboard, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/admin/auth/me, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/resumes/analysis/6a7439bca184eb1d15b78ec5, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/resumes/analysis/6a7439bca184eb1d15b78ec5, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/test, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/test, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/test/6a44fe4853b521f3ad7157f4, Has user? false, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/test/6a44fe4853b521f3ad7157f4, Has user? false, Has socket? true
[ActivityLogger] Success! Method=POST, URL=/api/test/submit, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/test/my-submissions, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/test/my-submissions, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/analytics/rewards, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/analytics/rewards, Has user? true, Has socket? true
[ActivityLogger] Success! Method=GET, URL=/api/users/profile, Has user? true, Has socket? true
